"Name","R.A.","Dec.","z","Type"
"SDSS-II SN 16202","21:27:11.04","-00:04:49.35,-00:04:49.7568","","Ia"
"SDSS-II SN 16439","21:30:33.550,21:30:33.6","-00:50:33.86,-00:50:33.864,-00:50:34.0368,-00:50:34.314","0.396513","Ia"
"SDSS-II SN 16586","23:53:21.60,23:53:21.6","-00:32:19.5,-00:32:19.9932,-00:32:20.328","0.319595","Ia"
"SDSS-II SN 16715","21:16:02.16","-00:43:56.352,-00:43:56.5104","0.209974","Ia"
"SDSS-II SN 16937","21:51:31.68","-00:27:56.862,-00:27:56.8692,-00:27:57.3048","0.251,0.225","II"
"SDSS-II SN 16973","01:40:24.720,01:40:24.72,01:40:24.696","-00:15:09.41,-00:15:09.4068,-00:15:09.3852,-00:15:09.5364","0.106,0.334,0.342","Ia"
"SDSS-II SN 17455","03:06:31.776,03:06:31.752","-00:41:13.9632,-00:41:14.2404","","Ia"
"SDSS-II SN 17965","22:43:17.680,22:43:17.76","-00:45:31.65,-00:45:31.968,-00:45:31.6548,-00:45:31.608,-00:45:31.9572","0.315534","Ia"
"SDSS-II SN 18076","01:45:30.48,01:45:30.456","-01:07:37.2,-01:07:37.596","","Ia"
"SDSS-II SN 18454","03:50:58.968","-00:17:00.168,-00:17:00.3876,-00:17:00.5496","0.348546","Ia"
"SDSS-II SN 19573","22:16:31.68","+00:44:16.699,+00:44:16.314","","Ia"
"SDSS-II SN 1991","22:38:30.384,22:38:30.48","+00:54:29.92,+00:54:29.84,+00:54:29.534","0.315484","Ia"
"SDSS-II SN 20065","21:32:53.396,21:32:53.28","-00:56:49.87,-00:56:49.866,-00:56:50.1468","0.309838","Ia"
"SDSS-II SN 20323","20:53:42.96","+01:08:41.892,+01:08:41.748,+01:08:41.604","0.111,0.104","Ia"
"SDSS-II SN 20391","20:44:41.76","-01:11:55.536,-01:11:55.968","","Ia"
"SDSS-II SN 20545","22:01:00.000,22:1:00.0","-00:25:26.35,-00:25:26.256,-00:25:26.2236,-00:25:26.3496","0.189457","Ia"
"SDSS-II SN 20596","01:46:47.544,01:46:47.52","+00:07:03.9612,+00:07:03.9864,+00:07:03.6516","0.214973","Ia"
"SDSS-II SN 20678","01:10:01.94,01:10:01.344,01:10:01.32","+01:13:48.4,+01:14:09.096,+01:14:08.808","0.205733","Ia"
"SDSS-II SN 20719","02:15:29.798,02:15:29.808,02:15:29.784","-00:05:03.05,-00:05:03.048,-00:05:03.1632,-00:05:03.4656","0.373119","Ia"
"SDSS-II SN 20727","02:52:14.568,02:52:14.544","-00:10:19.326,-00:10:19.272","","Ia"
"SDSS-II SN 20891","03:52:38.184,03:52:38.16","+00:31:22.958,+00:31:22.66","","Ia"
"SDSS-II SN 20895","23:39:54.96","+00:59:26.408,+00:59:26.041","","Ia"
"SDSS-II SN 20920","03:42:02.544,03:42:02.52","-01:11:03.228,-01:11:03.372,-01:11:03.624","0.481","Ia"
"SDSS-II SN 21081","00:48:07.571,00:48:07.536,00:48:07.56","-00:33:20.21,-00:33:20.556,-00:33:20.2068,-00:33:20.1852,-00:33:20.5668","0.323,0.144,0.134","Ia"
"SDSS-II SN 21381","03:26:39.624","-00:13:01.776,-00:13:01.8336,-00:13:02.0604","0.158,0.146","Ia"
"SDSS-II SN 21389","00:14:15.36,00:14:15.3408","+00:01:41.13,+00:01:41.1,+00:01:40.73","0.528,0.431","II"
"SDSS-II SN 21582","02:25:01.608,02:25:01.584","-00:30:55.098,-00:30:55.1052,-00:30:55.3788","0.352,0.305","Ia"
"SDSS-II SN 21591","01:57:22.272,01:57:22.248","-00:06:05.112,-00:06:05.0328,-00:06:05.2632","0.087,0.082","Ia"
"SDSS-II SN 21648","02:08:18.984,02:08:18.96","+00:25:25.57,+00:25:25.554,+00:25:25.313","0.44672","Ia"
"SDSS-II SN 2784","01:52:18.102,01:52:18.072,01:52:18.096","-00:02:30.19,-00:02:30.084,-00:02:30.192,-00:02:29.7816,-00:02:30.0984","0.399991","Ia"
"SDSS-II SN 2808","03:25:50.256,03:25:50.28","+00:17:31.96,+00:17:32.021,+00:17:31.805","0.3141","Ia"
"SDSS-II SN 3370","03:02:19.488,03:02:19.464","+01:09:21.492","","Ia"
"SDSS-II SN 3543","20:47:20.16","+00:03:12.41,+00:03:12.4,+00:03:12.1","0.191,0.175","Ia"
"SDSS-II SN 3560","00:03:04.466,00:03:04.4606,00:03:04.4246","+00:47:49.99,+00:47:49.974,+00:47:49.708","0.573,0.463","Ia"
"SDSS-II SN 4229","00:23:10.49,00:23:10.4832,00:23:10.4736","+00:18:49.77,+00:18:49.9,+00:18:49.522","0.309,0.273","Ia"
"SDSS-II SN 4534","03:30:07.344,03:30:07.32","-00:36:24.696,-00:36:24.822,-00:36:25.2504","0.369","Ia"
"SDSS-II SN 4558","01:59:32.51,01:59:32.52,01:59:32.544","+00:17:24.3,+00:17:24.25,+00:17:24.67,+00:17:24.263","0.344","Ia"
"SDSS-II SN 4676","01:15:17.68,01:15:17.688,01:15:17.664","+00:47:17.5,+00:47:16.98,+00:47:17.531,+00:47:17.538,+00:47:16.973","0.2446","Ia"
"SDSS-II SN 5178","03:29:06.264,03:29:06.24,03:29:06.192","+00:42:49.18,+00:42:49.165,+00:42:48.805","0.455,0.381","Ia"
"SDSS-II SN 5804","22:32:32.16","+00:59:13.09,+00:59:13.067","","Ia"
"SDSS-II SN 6210","21:59:10.08","+00:50:13.6,+00:50:13.088","","Ia"
"SDSS-II SN 7373","23:31:13.177,23:31:13.2","+00:35:17.90,+00:35:17.63,+00:35:17.898,+00:35:17.858,+00:35:17.617","0.2799","Ia"
"SDSS-II SN 7636","21:23:25.230,21:23:25.2","+00:07:07.77,+00:07:07.644,+00:07:07.8204,+00:07:07.6368","0.396,0.449,0.378","Ia"
"SDSS-II SN 8114","23:28:51.992,23:28:52.08","+00:13:42.29,+00:13:41.99,+00:13:42.287,+00:13:42.391,+00:13:41.977","0.3718","Ia"
"SDSS-II SN 8351","00:48:26.98,00:48:26.904,00:48:26.88","+01:15:14.8,+01:15:15.624,+01:15:15.228","0.381125","Ia"
"SDSS-II SN 8576","00:55:27.792,00:55:27.768","-00:09:41.2092,-00:09:41.2236,-00:09:41.4756","0.564","Ia"
"SDSS-II SN 8700","02:20:26.326,02:20:26.304,02:20:26.328","+00:13:37.88,+00:13:37.42,+00:13:37.718,+00:13:37.409","0.423438","Ia"
"SDSS-II SN 8705","02:41:43.970,02:41:43.944,02:41:43.968","+00:16:07.63,+00:16:07.392,+00:16:07.6332,+00:16:07.7232,+00:16:07.3956","0.394218","Ia"
"SDSS-II SN 9117","03:07:36.420,03:07:36.384,03:07:36.408","+00:59:18.15,+00:59:17.77,+00:59:18.118,+00:59:17.776","0.272,0.2721","Ia"
"SDSS-II SN 9218","03:06:48.363,03:06:48.36","-00:42:01.57,-00:42:01.836,-00:42:01.5732,-00:42:01.5408","0.236,0.242,0.218","Ia"
"SN2005fc","21:21:39.25,21:21:39.3,21:21:39.36,21:21:39.250","+00:53:40.7,+00:53:41,+00:53:40.78,+00:53:40.762,+00:53:40.531,+00:53:40.70,+00:53:40.74","0.297,0.417,0.423","Ia"
"SN2005is","00:21:44.90,00:21:44.9,00:21:44.974,00:21:44.947,00:21:44.9688,00:21:44.9472,00:21:44.97,00:21:44.969","-00:19:30.0,-00:19:30,-00:19:30.108,-00:19:30.36,-00:19:29.9748,-00:19:30.3636,-00:19:30.1,-00:19:30.11","0.1724,0.174074","Ia?"
"SN2006ja","22:26:51.840,22:26:51.84,22:26:51.91,22:26:51.910","+00:30:23.08,+00:30:21.82,+00:30:22,+00:30:21.802,+00:30:21.593,+00:30:21.8","0.107,0.0964,0.0969","Ia"
"SN2006jg","22:48:26.64,22:48:26.640","-00:26:07.0,-00:26:06.972,-00:26:07.548,-00:26:06.9648,-00:26:07.5552,-00:26:07.01","0.321","Ia"
"SN2006jw","02:23:22.22,02:23:22.296,02:23:22.272,02:23:22.30,02:23:22.301","+00:49:08.5,+00:49:08.4,+00:49:08.148,+00:49:08.4108,+00:49:08.1552,+00:49:08.40","0.2496","Ia"
"SN2006pz","02:55:08.24,02:55:08.232,02:55:08.208,02:55:08.239","+00:14:05.2,+00:14:05.172,+00:14:05.1756,+00:14:04.9236,+00:14:05.21","0.324952","Ia"
"SN2006qd","23:08:05.14,23:08:05.04,23:08:05.141","-00:10:33.9,-00:10:33.888,-00:10:33.8808,-00:10:34.1328,-00:10:33.89","0.266718,0.27","Ia"
"SN2006sz","23:42:52.46,23:42:52.56,23:42:52.459","-00:33:22.9,-00:33:22.896,-00:33:22.8852,-00:33:23.1336,-00:33:22.90","0.194,0.19","Ia?"
"SN2006tj","01:09:23.282,01:09:23.28,01:09:23.280,01:09:23.284","+00:42:42.26,+00:42:42.3,+00:42:42.30,+00:42:42.313","0.531,0.5299","Ia"
"SN2006tl","01:09:17.279,01:09:17.28,01:09:17.280,01:09:17.282","-00:40:27.97,-00:40:28.0,-00:40:27.98,-00:40:27.967","0.2689,0.2721","Ia"
"SN2006tn","02:05:36.025,02:05:36.02,02:05:36.019","-05:08:46.28,-05:08:46.3,-05:08:46.272","0.6691,0.6734","Ia"
"SN2006to","02:07:34.386,02:07:34.39,02:07:34.390,02:07:34.387","-04:00:04.22,-04:00:04.2,-04:00:04.21,-04:00:04.177","0.6811,0.6834","Ia"
"SN2007al","09:59:18.48,09:59:18.480","-19:28:25.8,-19:28:25.79","0.012122","Ia"
"SN2007cg","13:25:33.58,13:25:33.581","-24:39:08.1,-24:39:08.10","0.033196","Ia"
"SN2007jz","01:23:56.01,01:23:55.992,01:23:56.016,01:23:56.009","+01:15:18.0,+01:15:17.568,+01:15:17.964,+01:15:18.00","0.2323","Ia"
"SN2007rn","23:58:01.40,23:58:01.44,23:58:01.399","-00:44:15.2,-00:44:15.1836,-00:44:15.5076,-00:44:15.22","0.2665","Ia"
"SN2007rs","00:46:27.40,00:46:27.408,00:46:27.384,00:46:27.401","-01:03:44.1,-01:03:44.172,-01:03:44.316,-01:03:44.10","0.1242","Ia"
"SN2007th","02:10:57.57,02:10:57.569,02:10:57.574,02:10:57.582","-05:00:24.9,-05:00:24.91,-05:00:24.86,-05:00:24.789","0.531,0.5301","Ia"
"SN2007tz","02:30:07.15,02:30:07.150,02:30:07.146,02:30:07.153","-08:43:09.3,-08:43:09.30,-08:43:09.31,-08:43:09.354","0.52,0.5192,0.52","Ia?"
"SN2007ug","02:09:36.85,02:09:36.850,02:09:36.845","-04:51:52.2,-04:51:52.20,-04:51:52.24,-04:51:52.280","0.654,0.6531,0.654","Ia?"
"SNLS-05D1ju","02:26:57.297","-04:08:02.74,-04:08:02.740","0.707,0.707","Ia"
"SNLS-05D3cq","14:18:46.163","+53:07:55.70,+53:07:55.700","0.89,0.89","Ia"
"SNLS-06D2gb","10:00:47.419","+01:59:07.46,+01:59:07.460","0.442,0.442","Ia"
"SNLS-06D3bz","14:17:10.042","+53:01:29.37,+53:01:29.370","0.727","Ia"
"SNLS-06D3gx","14:17:03.234,14:17:03.36","+52:56:10.51,+52:56:10.510,+52:56:21.84","0.76","Ia"
"PS1-10bkj","03:36:07.2,03:36:07.217","-27:40:03.36,-27:40:03.31","0.44779","Ia"
"PS1-11zw","16:10:25.814,16:10:25.815","+54:08:58.48,+54:08:58.46,+54:08:58.47","0.42351","Ia"
"PSc000210","09:57:52.693","+03:00:30.82","0.61154","Ia"
"PSc030007","14:09:23.651","+53:37:06.96","0.25978","Ia"
"PSc060238","22:14:42.320","+00:47:51.70","0.32178","Ia"
"PSc070200","02:26:38.462","-03:36:57.83","0.43624","Ia"
"PSc071245","22:15:02.874","-00:51:54.61","0.47909","Ia"
"PSc090746","08:38:52.218","+43:51:08.99","0.21954","Ia"
"PSc120553","08:43:49.125","+44:08:03.13","0.48307","Ia"
"PSc120713","10:43:46.241","+58:15:34.54","0.4199","Ia"
"PSc150314","10:49:28.081","+56:39:02.15","0.37755","Ia"
"PSc150607","14:07:47.198","+53:52:51.93","0.43096","Ia"
"PSc160016","12:23:08.337","+45:52:43.62","0.33533","Ia"
"PSc160098","12:19:40.294","+48:00:35.35","0.2969","Ia"
"PSc160106","16:15:48.396","+56:17:41.04","0.30197","Ia"
"PSc300007","23:29:28.385","-01:51:58.09","0.34281","Ia"
"PSc310552","23:33:38.098","-00:18:02.57","0.50373","Ia"
"PSc320441","23:28:05.121","+00:52:53.94","0.36478","Ia"
"PSc330060","03:35:03.643","-27:03:57.42","0.34346","Ia"
"PSc340347","10:53:19.261","+59:18:01.74","0.35555","Ia"
"PSc360067","10:38:26.205","+58:06:32.50","0.59352","Ia"
"PSc360735","12:24:39.708","+47:49:27.64","0.42969","Ia"
"PSc370542","12:24:08.771","+46:51:35.27","0.55818","Ia"
"PSc420171","22:17:22.893","-01:02:51.48","0.40755","Ia"
"PSc420350","02:21:56.371","-03:51:31.72","0.42998","Ia"
"PSc440504","23:34:33.871","-00:56:00.13","0.38354","Ia"
"PSc440509","02:19:23.912","-05:25:49.32","","Ia"
"PSc440531","02:27:18.197","-04:31:45.10","0.52303","Ia"
"PSc450247","23:27:56.057","+00:14:58.16","0.32484","Ia"
"PSc460063","02:22:01.878","-03:03:05.81","0.17486","Ia"
"PSc470015","03:36:35.652","-28:37:30.41","","Ia"
"PSc480193","10:47:24.696","+57:52:27.71","0.3698","Ia"
"PSc490001","12:16:03.383","+46:17:48.64","0.30473","Ia"
"PSc510167","14:09:15.464","+53:12:49.79","0.41881","Ia"
"PSc520017","14:09:23.309","+52:30:34.43","0.61565","Ia"
"PSc520077","16:18:39.104","+55:41:03.16","","Ia"
"PSc520155","12:16:54.505","+48:06:05.79","0.22294","Ia"
"PSc530082","16:05:26.836","+54:49:15.92","0.47199","Ia"
"PSc530218","23:28:00.972","-00:21:39.36","0.50803","Ia"
"PSc530237","23:29:05.064","+00:11:22.70","0.49701","Ia"
"PSc540172","22:16:02.466","+01:40:29.02","0.51787","Ia"
"PSc550059","23:25:12.699","-01:01:28.22","","Ia"
"PSc550176","02:26:45.506","-03:59:33.57","0.21944","Ia"
"PSc550197","22:15:14.430","+01:16:24.35","0.24825","Ia"
"PSc550200","22:14:26.186","-00:53:08.93","0.25403","Ia"
"PSc570022","23:24:29.722","-00:29:03.63","0.30184","Ia"
"PSc580122","02:26:15.539","-05:11:16.42","0.46331","Ia"
"PSc580263","10:04:08.043","+02:21:22.52","0.35436","Ia"
"PSc580311","02:27:19.913","-04:32:30.06","0.25328","Ia"
"PTF10elk","07:11:54.03,07:11:54","+49:49:36.8,+49:49:36.84","0.062113","Ia"
"PTF10qjl","16:39:59.28,16:39:59.23,16:39:59.33","+12:06:26.64,+12:06:26.6,+12:06:25.5","0.0576,0.0579","Ia"
"PTF10wri","23:24:23.51,23:24:23.52","+27:10:44.8,+27:10:44.76","0.12","Ia"
"PTF11apq","10:54:22.38,10:54:22.32","+33:09:50.5,+33:09:50.4","0.0724","Ia"
"PTF11gpb","17:05:13.88,17:05:13.92","+31:56:21.1,+31:56:21.12","0.16","Ia"
"PTF11jaw","16:32:18.06,16:32:18","+40:53:54.7,+40:53:54.6","0.14","Ia"
"PTF12egr","12:39:34.18,12:39:34.08","+47:32:14.0,+47:32:13.92","0.132","Ia"
"SN2010dl","21:35:00.97,21:35:00.96,21:35:00.970","-00:30:47.8,-00:30:48.42,-00:30:47.81","0.03","Ia"
"SN2010ew","18:37:11.88,18:37:11.76,18:37:11.880","+30:37:49.6,+30:37:49.08,+30:37:49.58","0.026","Ia"
"SN2010ip","03:29:48.50,03:29:48.432,03:29:48.499","+06:32:55.3,+06:32:55.572,+06:32:55.28","0.052","Ia"
"SN2011Z","13:30:43.04,13:30:42.96,13:30:43.039","-20:57:14.0,-20:57:14.4,-20:57:14.00","0.018","Ia"
"Gaia19aiy","13:58:03.491,13:58:03.36","+20:38:10.19,+20:38:10.68","0.077","Ia"
"OGLE15om","03:19:00.00","-64:40:40.2,-64:40:40.3","0.1","Ia"
"PS15at","12:15:38.21","-07:47:28.1","0.033","II"
"PS15bxo","00:00:52.541,00:00:52.52","-02:04:12.89,-02:04:13.0","0.17","Ia"
"PS17byj","10:56:23.775,10:56:23.770,10:56:23.7672,10:56:23.77","+09:45:18.67,+09:45:18.70,+09:45:18.3647,+09:45:18.7","","Ia"
"SN2016abx","11:39:47.810,11:39:47.80","+23:39:28.07,+23:39:28.0","0.15","Ia-91T"
"SN2016ajb","09:56:40.96,09:56:40.962,09:56:40.98","-10:38:32.9,-10:38:32.95,-10:38:33.1","0.069,0.069","Ia"
"SN2016enu","00:04:20.436,00:04:20.440,00:04:20.45,00:04:20.44","+40:59:23.79,+40:59:24,+40:59:23.9","0.042","Ia"
"SN2016gdq","23:25:53.568,23:25:53.570,23:25:53.54,23:25:53.52","+26:54:23.90,+26:54:24.0,+26:54:24.12","0.13,0.13","Ia"
"SN2016ut","11:36:36.16,11:36:36.173","-03:04:38.3,-03:04:38.30,-03:04:38.2","0.099,0.099","Ia"
"SN2017bbw","09:30:36.081,09:30:36.080,09:30:36.07","+11:29:53.68,+11:29:53.7","0.09,0.09","Ia"
"SN2017cka","17:07:47.343,17:07:47.340,17:07:47.33","+09:49:20.96,+09:49:20.7","0.04,0.04","Ia"
"SN2017ckb","14:25:43.020,14:25:43.0248,14:25:43.05","+11:44:12.20,+11:44:12.21,+11:44:10.8","0.05","Ia-91bg"
"SN2017cug","07:57:49.855,07:57:49.860,07:57:49.92","-21:41:09.30,-21:41:08.88","0.024,0.024","Ia"
"SN2017dhl","12:12:03.669,12:12:03.670,12:12:03.66","+06:39:14.29,+06:39:14.2","0.137,0.137","Ia"
"SN2017dib","12:49:01.520,12:49:01.493,12:49:01.51","+05:49:37.69,+05:49:37.74,+05:49:37.6","0.059,0.059","Ia"
"SN2017ehf","14:21:46.157,14:21:46.160,14:21:46.08,14:21:46.15","-01:23:15.30,-01:23:15.432,-01:23:15.2","0.055,0.055","Ia"
"SN2017fax","23:03:56.380,23:03:56.35","+30:09:28.80,+30:09:28.5","0.023209","Ia-91bg"
"SN2017glx","19:43:40.290,19:43:40.30","+56:06:36.30,+56:06:36.2","0.011294,0.011294","Ia"
"SN2017gqr","19:28:21.610,19:28:21.600,19:28:21.6,19:28:21.60","+56:34:45.70,+56:34:46.00,+56:34:45.84,+56:34:45.5","0.025,0.025,0.025","Ia"
"SN2017hlw","10:27:25.450,10:27:25.446,10:27:25.44","-17:23:55.75,-17:23:55.76,-17:23:55.68","0.037,0.037","Ia"
"SN2017hof","04:09:16.903,04:09:16.900,04:09:16.90","-20:41:58.80,-20:41:58.7","0.055,0.055","Ia"
"SN2017hyn","02:38:27.012,02:38:27.010,02:38:27.024","-08:02:09.71,-08:02:09.672","0.053,0.053","Ia-91T"
"SN2017iwy","12:05:45.567,12:05:45.497,12:05:45.6,12:05:45.55","+10:23:53.67,+10:23:53.89,+10:23:53.52,+10:23:53.4,+10:23:53.88","0.034534,0.034534","Ia"
"SN2017jnb","07:55:28.355,07:55:28.350,07:55:28.35","+31:03:05.85,+31:03:05.8","0.16,0.16","Ia"
"SN2017jyl","10:40:21.287,10:40:21.290,10:40:21.36","-46:25:10.46,-46:25:10.80,-46:25:10.56","0.024,0.024","Ia"
"SN2018ajp","06:27:03.760,06:27:03.790,06:27:03.768,06:27:03.792","-25:38:23.65,-25:38:23.24,-25:38:23.28","0.024227,0.024227","Ia"
"SN2018aoy","14:50:47.920,14:50:47.90","+54:24:28.80,+54:24:28.4","0.037589","Ia"
"SN2018asj","09:22:58.760,09:22:58.764,09:22:58.8","+09:04:10.70,+09:04:10.704,+09:04:10.632","0.1,0.1","Ia"
"SN2018auz","22:23:38.490,22:23:38.486,22:23:38.4","+04:37:50.38,+04:37:50.376,+04:37:50.412","0.052,0.052","Ia"
"SN2018bae","14:52:49.540,14:52:49.68","+18:04:48.74,+18:04:48.72","0.071553","Ia"
"SN2018cnz","15:30:18.283,15:30:18.280,15:30:18.24","+57:39:30.60,+57:39:30.6","0.1,0.1","Ia"
"SN2018cqa","14:47:45.780,14:47:45.777,14:47:45.84","+32:45:06.80,+32:45:06.84","0.06,0.06","Ia"
"SN2018ctb","22:01:08.357,22:01:08.093,22:01:08.16","+20:03:05.29,+20:03:04.24,+20:03:03.6,+20:03:04.32","0.029,0.029","Ia"
"SN2018fsq","07:17:49.848,07:17:49.850,07:17:49.85","+18:27:51.69,+18:27:51.5","0.043,0.043","Ia"
"SN2018giq","02:34:30.110,02:34:30.12","-35:24:27.00,-35:24:26.64","0.0739","Ia-91T"
"SN2018gl","09:58:06.247,09:58:06.110,09:58:06.12,09:58:06","+10:21:33.84,+10:21:33.61,+10:21:33.7,+10:21:33.48","0.017906,0.017906","Ia"
"SN2018gva","07:51:09.628,07:51:09.579,07:51:09.6,07:51:09.64,07:51:09.63","+62:05:12.16,+62:05:12.12,+62:05:12.0","0.021465,0.021465","Ia"
"SN2018igt","13:04:28.982,13:04:28.980,13:04:29.04","+79:03:02.06,+79:03:02.16","0.032,0.032","Ia"
"SN2018ins","08:25:45.710,08:25:45.711,08:25:45.6","-03:02:53.84,-03:02:53.844","0.05,0.05","Ia"
"SN2018iqo","13:37:48.807,13:37:48.810,13:37:48.72","+41:21:52.19,+41:21:52.2","0.055,0.055","Ia-91T"
"SN2018jh","14:21:17.400,14:21:17.542,14:21:17.52,14:21:17.53","-06:37:38.80,-06:37:39.04,-06:37:39.036,-06:37:39.0,-06:37:38.784","0.0272,0.0272","Ia"
"SN2019bm","11:57:16.349,11:57:16.32,11:57:16.41","+36:24:58.71,+36:25:00.12,+36:25:00.2","0.021101","Ia"
"SN1982W","14:07:08.96,14:07:08.99,14:07:09.050,14:07:08.9","+55:01:07.4,+55:01:07.39,+55:01:07.79,+55:01:07.0","0.0066","Ia"
"SN1998dy","04:29:54.24,04:29:54.240","-61:12:43.1,-61:12:43.09","0.0485","nIa"
"SN2002db","14:34:51.63,14:34:51.631","+48:39:52.9,+48:39:52.88","0.036218","Ia"
"SN2002hr","03:32:22.522,03:32:22.57,03:32:22.570","-27:41:52.26,-27:41:52.2,-27:41:52.19","0.526,0.526,0.526","Ia"
"SN2002iz","02:31:20.73,02:31:20.731,02:31:20.745","-08:36:13.1,-08:36:13.12,-08:36:13.10,-08:36:13.414","0.4262,0.4274","Ia"
"SN2003eq","12:37:48.435,12:37:48.34,12:37:48.341,12:37:48.348","+62:13:34.85,+62:13:35.3,+62:13:35.29,+62:13:35.39","0.839,0.839","Ia"
"SN2003F","05:11:32.99,05:11:32.990,05:11:32.998","+17:03:28.4,+17:03:28.40,+17:03:28.49","0.01724","Ia"
"SN2003jl","02:28:28.56,02:28:28.560,02:28:28.568","-08:08:44.7,-08:08:44.74,-08:08:44.70,-08:08:44.79,-08:08:44.932","0.424,0.4232,0.436","Ia"
"SN2003kv","02:09:42.52,02:09:42.521,02:09:42.528,02:09:42.519","-03:46:48.6,-03:46:48.58,-03:46:48.61,-03:46:48.69,-03:46:48.442","0.8,0.8","Ia?"
"SN2003lh","02:10:19.51,02:10:19.510,02:10:19.518,02:10:19.505","-04:59:32.3,-04:59:32.30,-04:59:32.32,-04:59:32.39,-04:59:32.063","0.536,0.5351,0.539","Ia"
"SN2004fo","01:13:28.97,01:13:28.970,01:13:28.975","+00:35:16.3,+00:35:16.26,+00:35:16.30,+00:35:16.179","0.506,0.5049","Ia"
"SN2004fs","02:31:19.95,02:31:19.951,02:31:19.943","-08:49:21.7,-08:49:21.67,-08:49:21.68,-08:49:21.751","0.507,0.5062,0.493","Ia"
"SNLS-04D1ak","02:27:33.355,02:27:33.399","-04:19:38.78,-04:19:38.780,-04:19:38.73","0.526,0.526","Ia"
"SNLS-04D4dm","22:15:25.454,22:15:25.470","-17:14:42.57,-17:14:42.570,-17:14:42.71","0.811,0.811","Ia"
"ESSENCEn258","02:06:42.35,02:06:42.346","-04:22:37.0,-04:22:37.01,-04:22:36.982","0.5181,0.5191","Ia"
"ESSENCEn406","02:31:19.60,02:31:19.601","-08:45:09.8,-08:45:09.76,-08:45:09.787","0.77,0.7692,0.77","Ia?"
"ESSENCEx039","02:29:18.063","-07:39:01.433","0.771,0.7702,0.771","Ia"
"PSc000077","08:38:55.186","+43:41:38.30","0.50709","Ia"
"PTF09dhx","22:26:22.850,22:26:22.8","+10:49:34.25,+10:49:34.32","0.087","Ia"
"PTF09dnp","15:19:25.360,15:19:25.44,15:19:25.34,15:19:24.432","+49:30:04.83,+49:30:05.04,+49:30:05.0,+49:29:56.4","0.037559","Ia"
"SDSS-II SN 11093","20:32:58.32","-00:59:40.308,-00:59:40.1748,-00:59:40.4736","0.262,0.234","Ia"
"SDSS-II SN 13479","02:25:53.304","-00:22:17.562,-00:22:17.67,-00:22:17.9796","0.465,0.389","Ia"
"SDSS-II SN 13489","02:38:36.912","+00:12:40.82,+00:12:40.86,+00:12:40.576","0.561,0.454","Ia"
"SDSS-II SN 13507","01:41:49.584,01:41:49.56","-00:47:44.412,-00:47:44.3616,-00:47:44.6352","0.318,0.278","Ia"
"SDSS-II SN 13617","21:13:19.68","+01:13:30.54,+01:13:30.324","","Ia"
"SDSS-II SN 13729","21:15:40.497,21:15:40.56","+00:52:31.00,+00:52:30.61,+00:52:30.997,+00:52:30.85,+00:52:30.598","0.343,0.123,0.115","Ia"
"SDSS-II SN 14113","01:53:46.676,01:53:46.68","-00:49:06.06,-00:49:06.1104,-00:49:06.4056","0.242319","Ia"
"SDSS-II SN 14149","02:40:29.904,02:40:29.88","+00:03:04.738,+00:03:04.457","0.53615","Ia"
"SDSS-II SN 14317","21:02:16.981,21:02:17.04","+00:19:50.08,+00:19:48.76,+00:19:48.961,+00:19:48.907,+00:19:48.77","0.181,0.181","Ia"
"SDSS-II SN 14372","03:23:14.839,03:23:14.832","-00:08:28.35,-00:08:28.716,-00:08:28.3452,-00:08:28.7196","0.301","Ia"
"SDSS-II SN 14496","00:29:15.9168,00:29:15.902","-01:13:40.764,-01:13:40.908","","Ia"
"SDSS-II SN 14671","01:39:44.724,01:39:44.736,01:39:44.712","-00:50:07.84,-00:50:07.836,-00:50:07.8036,-00:50:08.0844","0.371526","Ia"
"SDSS-II SN 14827","01:39:05.406,01:39:05.4,01:39:05.376","-00:21:57.56,-00:21:57.564,-00:21:57.8412","0.410778","Ia"
"SDSS-II SN 14928","23:40:17.52","+00:36:12.622,+00:36:12.29","","Ia"
"SDSS-II SN 15003","01:29:33.264,01:29:33.24","+00:41:44.43,+00:41:44.459,+00:41:44.059","0.587,0.472","Ia"
"SDSS-II SN 15080","21:07:31.2","-01:02:19.392,-01:02:19.608","0.259,0.232","Ia"
"SDSS-II SN 15085","01:24:16.488,01:24:16.464","-00:53:24.5292,-00:53:24.8208","","Ia"
"SDSS-II SN 15212","00:23:09.7608,00:23:09.7464","-00:04:19.488,-00:04:19.7292","","Ia"
"SDSS-II SN 15486","22:59:57.487,22:59:57.6","+01:14:24.82,+01:14:24.828,+01:14:24.576","0.116007","Ia"
"SDSS-II SN 15745","02:48:49.913,02:48:49.896,02:48:49.92","-00:06:27.17,-00:06:27.468,-00:06:27.1692,-00:06:27.1188,-00:06:27.45","0.414,0.395","Ia"
"SDSS-II SN 15761","01:21:10.46,01:21:10.464,01:21:10.416","+00:20:27.7,+00:20:28.41,+00:20:27.964","0.355011","Ia"
"SDSS-II SN 15765","02:11:23.318,02:11:23.304,02:11:23.328","+00:14:45.93,+00:14:45.64,+00:14:45.935,+00:14:46.007,+00:14:45.643","0.3048","Ia"
"SDSS-II SN 15874","02:39:04.693,02:39:04.656,02:39:04.704,02:39:04.68","-00:23:13.13,-00:23:13.56,-00:23:13.128,-00:23:13.2828,-00:23:13.5528","0.402736","Ia"
